Sub,ScriptNumber,LineKey,Color,Actor,AnimState,DotAnim,TextType,KorText,EngText,NextLineKey,DeathNote,AfterScript,Exeption
1,33,1,0,Player,,anim_eyesdown,text,"뭉치, 뭐 하고 있었어?","What were you doing, Dot?",2,,,
1,33,2,0,Dot,,anim_eyesdown,text,그냥. 내 몸을 바라보고 있었어.,Nothing. Just looking at myself.,3,,,
1,33,3,0,Dot,,anim_eyesdown,text,아무것도 보이지 않는 이 검정 너머를.,Beyond this black abyss of nothingness.,4,,,
1,33,4,0,Player,,anim_eyesdown,text,궁금한 게 있어. 그때는\n차마 더 물어보지 못했지만….,I’ve been meaning to ask.,5,,,
1,33,5,0,Player,,anim_eyesdown,text,너는 네 검정을 왜 그렇게 미워하는 거야?,Why do you hate your\nblackness so much?,6,,,
1,33,6,0,Dot,,anim_eyesdown,text,… 이제는 말해 줄 수 있을 것만 같아.,eng1,7,,,
1,33,7,0,Dot,,anim_eyesblink,text,"사실, 미워한다는 표현과는\n상응하지 않는 감정이야.",Hate isn’t the right\nword for this emotion.,8,,,
1,33,8,0,Dot,,anim_idle,text,"보다 불순물 가득하고, 농도\n짙으며, 청결하지 못하지.",It’s something much more impure.\nGrubby. Something that runs deep.,9,,,
1,33,9,0,Dot,,anim_idle,text,조악하고 소리 없어.,Crude and noiseless.,10,,,
1,33,10,0,Dot,,anim_eyesblink,text,"어느 날은 스멀스멀 기어오르다\n가라앉을 때도 있고,","Some days it creeps upward\nbefore sinking down,",11,,,
1,33,11,0,Dot,,anim_idle,text,"어느 날은 온몸을 휘감으며 날 집어삼켰다가,\n타액 같이 질척한 잔여감을 남기기도 해.","and other days it wraps around me and\n swallows me whole, wet and slimy.",12,,,
1,33,12,0,Player,,anim_idle,selection,혐오인 거야?|공포인 거야?,Disgust?|Fear?,13|13,,,
1,33,13,0,Dot,,anim_eyesblink,text,둘 다 정확하면서 부정확해.,Correct and incorrect.,14,,,
1,33,14,0,Dot,,anim_idle,text,"혐오, 공포. 불쾌함, 적개심? 자학, 미움.\n아니, 아니야. 그 모든 것일수도 있겠지만.","Revulsion, distaste, hostility? Fear, self-hatred,\nloathing. No, no. Perhaps all of the above.",15,,,
1,33,15,0,Dot,,anim_idle,text,사전 속 어떤 단어로도 나의\n이 감정을 표현하기에는 부족해.,But no word in the dictionary could\nbe enough to express how I feel.,16,,,
1,33,16,0,Player,,anim_eyesblink,text,그럴 수 있겠다고 생각해.,I think I understand.,17,,,
1,33,17,0,Player,,anim_idle,selection,(무슨 마음인지 알아. 공감한다.)|(뭉치의 생각을 바꿔 보려고 한다.),(I know how they feel. Be empathetic.)|(Try to make Dot see differently.),18|21,,,
1,33,18,0,Player,,anim_eyesblink,text,나 역시 스스로를 바라보며\n혐오를 느낄 때가 있지.,eng2,19,,,
1,33,19,0,Player,,anim_default,textbox,"가장 최근의 경험을 이야기하자면,",eng3,20,,,
1,33,20,0,Player,,anim_idle,text,그리고 위로가 될지는 모르겠지만…,eng4,22,,,
1,33,21,0,Player,,anim_eyesblink,text,"하지만 뭉치야, 그렇게까지\n싫어하는 이유를 잘 모르겠어.",I don’t understand why you hate it so much.,22,,,
1,33,22,0,Player,,anim_default,selection,지구에서는 검정이 나쁘기만 한 색은 아니야.|나는 검정색을 좋아해. 당연 너의 검정도.,eng5-1|eng5-2,23|27,,,
1,33,23,0,Player,,anim_idle,text,인간들은 검정을 멋지고 매력적인\n색으로 여기는 경우가 많아.,eng6,24,,,
1,33,24,0,Player,,anim_eyesblink,text,검정을 가만히 보고 있으면 마음이\n가라앉으면서 편안해지기도 하지.,eng7,25,,,
1,33,25,0,Dot,,anim_idle,text,인간들이 좋아하는 검정은 ‘나의’\n검정과 달라. 그것은 그저 색소잖아.,eng8,26,,,
1,33,26,0,Player,,anim_default,selection,(머뭇거린다)|뭉치의 검정도 결국은 색소 아니야?,eng9-1|eng9-2,31|31,,,
1,33,27,0,Player,,anim_eyesblink,text,검정은 특별하고 개성 있잖아. 멋지고 고요해.\n그만의 강렬한 매력이 존재하거든.,I like your blackness. It’s special and unique.,28,,,
1,33,28,0,Player,,anim_idle,text,검정을 가만히 보고 있으면 마음이\n가라앉으면서 편안해지기도 하지.,eng10,29,,,
1,33,29,0,Player,,anim_idle,text,"뭉치 같아. 작지만 똑똑하고,\n사랑스러운 ‘검정’ 덩어리!","> But it’s so very you. Small but clever, a lovely ball of black!",30,,,
1,33,30,0,Player,,anim_eyesblink,text,이 문장의 모든 요소가 빠짐없이\n너다운걸. 특히 검다는 수식이 말이야.,eng11,31,,,
1,33,31,0,Dot,,anim_idle,text,…….,eng12,32,,,
1,33,32,0,Player,,anim_idle,text,"네가 나의 집의 구석을 점령한 ‘파스텔톤의’\n작은 덩어리든, 지금처럼 시커먼 덩어리든,",eng13,33,,,
1,33,33,0,Player,,anim_idle,text,나에게 너는 그냥 너야.\n그리고 난 뭉치의 검정이 좋아.,eng14,34,,,
1,33,34,0,Player,,anim_idle,text,(뭉치가 말이 없네….),eng15,35,,,
1,33,35,0,Dot,,anim_eyesblink,text,‘나의 검정’이 좋다고?,You like my black?,36,,,
1,33,36,0,Dot,,anim_idle,text,…… <nickname>.,…… <nickname>.,37,,,
1,33,37,0,Player,,anim_idle,text,…… 응?,…….,38,,,
1,33,38,0,Dot,,anim_idle,text,"너나 다른 인간들이 검정을 어떻게 바라보며\n어떻게 인식하든, 그것은 나와 상관 없는 일이야.",eng16,39,,,
1,33,39,0,Dot,,anim_idle,text,"그 검정은 나를 단전부터 징그럽게 하지도,\n너를 영혼부터 오염시키지도 않아.","It doesn’t disgust me from my very core,\nnor does it taint you from your very soul.",40,,,
1,33,40,0,Dot,,anim_eyesblink,text,나의 검정과 다른 검정들은 다르다니까.\n그걸 정말 모르고 있던 거야? 줄곧?,You really had no idea?\nThis whole time?,41,,,
1,33,41,0,Dot,,anim_eyesdown_turn,text,이건.,eng17,42,,,
1,33,42,0,Dot,,anim_idle,text,"썩어 버린 토사물, 더러운 열등감 덩어리…\n꿈틀거리는 바퀴벌레.","This is rancid vomit, shameful\ninferiority… squirming cockroaches.",43,,,
1,33,43,0,Dot,,anim_idle,text,생각해 봐. 인간으로서 생각해 보란 말이야.,Think. Think about it\nfrom a human perspective.,44,,,
1,33,44,0,Dot,,anim_omg,text,"네 몸뚱아리가 그들로부터 구성되고,\n네 몸을 볼 때마다 그들의 냄새가 난다고.","Imagine you’re made of them, and you smell\nthem every time you look at yourself.",45,,,
