Sub,ScriptNumber,LineKey,Color,Actor,AnimState,DotAnim,TextType,KorText,EngText,NextLineKey,DeathNote,AfterScript,Exeption
1,57,1,0,Dot,,anim_default,text,"<nickname>, 돌아왔구나.","<nickname>, you’re back.",2,,,
1,57,2,0,Dot,,anim_default,text,창밖의 거리를 구경하다 궁금한 게 생겼어.,Something from the streets\npiqued my curiosity.,3,,,
1,57,3,0,Dot,,anim_default,text,인간들이 삼삼오오 모여 군집을\n이룬 채 웃고 있는 모습을 봤거든.,"I saw humans in groups, smiling.",4,,,
1,57,4,0,Dot,,anim_default,text,그 순간은 그들에게 ‘추억’ 한 장이\n되어 고이고이 간직되겠지.,That moment will become a page in their\n‘memory’ and be stored preciously.,5,,,
1,57,5,0,Dot,,anim_default,text,"있지, 너에게는 다른 인간 친구들도\n존재해? 그들과 추억을 나눠?",So… do you have human friends?\nDo you make memories with them?,6,,,
1,57,6,0,Player,,anim_default,selection,"그럼, 당연하지.|음, 없는 것 같아.","Yes, sure.|Hm, I don’t think so.",7|16,,,
1,57,7,0,Dot,,anim_default,text,…! 그렇구나.,…! I see.,8,,,
1,57,8,0,Dot,,anim_default,text,그들과 ‘동질감’을 느끼며\n함께 웃음을 터트리기도 해?,Do you feel a ‘kinship’ with\nthem and laugh together?,9,,,
1,57,9,0,Player,,anim_default,text,"응, 그게 친구의 묘미인 것 같아. 그\n사소하고 자잘한 웃음들이 모여서","Yes, I think that’s the best part of having\nfriends. Those little moments gather",10,,,
1,57,10,0,Player,,anim_default,text,"우리는 친밀해지고, 더욱 고유한\n추억들을 함께 만들어 나가는 거야.","and bring us closer, and, in turn, we create\neven more special memories together.",11,,,
1,57,11,0,Player,,anim_default,text,그렇게 관계의 밀도가\n깊어 간다고 생각해.,I believe that’s how relationships\nbecome more tight-knit.,12,,,
1,57,12,0,Dot,,anim_default,text,추억….,Memory…,13,,,
1,57,13,0,Dot,,anim_default,text,"누군가에게 확실하게, 오차 없이\n‘추억’으로서 존재하려면 어떻게 해야 해?",How do you become a ‘memory’\nfor someone without fail?,14,,,
1,57,14,0,Player,,anim_default,text,오랫동안 함께하면 되지. 긴 시간을\n보내며 기억을 축적하면 돼.,Spend a long time together. Time spent\ntogether will accumulate as memories.,15,,,
1,57,15,0,Player,,anim_default,text,우리도 추억을 만들어 가는 중인 걸?,"It’s what you and I are doing right now, see?",25,,,
1,57,16,0,Dot,,anim_default,text,… 정말? 왜?,… Really? How?,17,,,
1,57,17,0,Player,,anim_default,selection,타인과 관계 맺는 건 관심사가 아니야.|친구라 정의할 만큼 가까운 지인이 없어.,Relationships with humans don’t interest me.|There’s no one I feel close enough to call friend.,18|18,,,
1,57,18,0,Dot,,anim_default,text,"비록 못나고 보잘것없는 몸이지만, 이런\n내가 무려 너의 유일한 친구인 거야?","Even though I’m ugly and useless,\nI’m your one and only friend?",19,,,
1,57,19,0,Player,,anim_default,selection,"그런 셈이지.|응, 유일한 친구!","I guess so.|Yes, the one and only!",20|20,,,
1,57,20,0,Dot,,anim_default,text,그렇다면 너도 나와의\n고유한 ‘추억’이 있는 거지?,Then you have a special\n‘memory’ with me as well?,21,,,
1,57,21,0,Player,,anim_default,text,그럼. 정확히는 우리가 추억을\n만들어 나가는 중이라고 생각해.,"Of course. More accurately, I think we’re\nin the process of making memories.",22,,,
1,57,22,0,Player,,anim_default,text,"내 기준이지만, 추억이라\n불리는 게 자연스러우려면…","This is a personal thought, but in\norder to call something a ‘memory,’",23,,,
1,57,23,0,Player,,anim_default,text,지금보다는 훨씬 과거의\n일이 되어야 하는 것 같아.,I think it needs to be way back in the past.,24,,,
1,57,24,0,Player,,anim_default,text,혹은 더 긴 시간 동안\n축적해 나가야 했거나.,Or it needs to have accumulated\nfor a longer period.,25,,,
1,57,25,0,Dot,,anim_default,text,"… 응, 알 것 같아.","… Yes, I think I understand.",26,,,
1,57,26,0,Dot,,anim_default,text,으음. 한 가지 질문이 또 생겼어.,Hm. I have another question.,27,,,
1,57,27,0,Dot,,anim_default,text,긴 시간 동안 켜켜이 쌓이지 않았다면\n‘추억’이 될 수 없는 걸까?,"If it hasn’t accumulated for a long\nwhile, can it still be a ‘memory?’",28,,,
1,57,28,0,Dot,,anim_default,text,아주 짧았던 찰나의 시간은?,What about moments?,29,,,
