Sub,ScriptNumber,LineKey,Color,Actor,AnimState,DotAnim,TextType,KorText,EngText,NextLineKey,DeathNote,AfterScript,Exeption
1,63,1,0,Dot,,anim_default,text,"오, <nickname>. 내 정수리를 밟고\n서 있는 아기새를 봐 줄 수 있어?","Oh, <nickname>. Will you look at\nthis baby bird atop my head?",2,,,
1,63,2,0,Dot,,anim_default,text,"그게, 그게 말이지……","Well, what happened was...…",3,,,
1,63,3,0,Dot,,anim_default,text,구름이 권태롭게 뒷짐을 지고 흘러가고 있었어.,The clouds were idly drifting away.,4,,,
1,63,4,0,Dot,,anim_default,text,"난 깎아지르는 벼랑을 등반해,\n기필코 그에 닿아 보리라 결심했지!",I followed the treacherous route up the cliff\nfor a closer look and nearly lost an arm!,5,,,
1,63,5,0,Player,,anim_default,text,"어… 그러니까 창문 위에 어렵게\n올라가서 하늘을 봤다고, 뭉치야?","So… you made it up on the\nwindowsill to look at the sky, [뭉치]?",6,,,
1,63,6,0,Dot,,anim_default,text,…… (조금 짜게 식은 표정),…… (조금 짜게 식은 표정),7,,,
1,63,7,0,Dot,,anim_default,text,그렇다고 볼 수 있지. (통통 튀는 애니메이션),Eh… That's one way to put it.,8,,,
1,63,8,0,Dot,,anim_default,text,이 새는 기다렸다는 것처럼 나에게 내려앉았어.,And then this bird landed on\nme like she had been expecting me.,9,,,
1,63,9,0,Dot,,anim_default,text,"그게 저 책상의 그림자가 방바닥을\n반틈 가리고 있을 때의 일인데,","It happened when the shadow of\nthat desk covered the floor in half,",10,,,
1,63,10,0,Dot,,anim_default,text,완전히 어둠이 내려앉은\n지금도 떠나질 못하고 있어.,and now darkness has set\nand she still hasn’t budged.,11,,,
1,63,11,0,Dot,,anim_default,text,"침울하게 추측해 보건대, 이 새는…","It pains me to say it,",12,,,
1,63,12,0,Dot,,anim_default,text,"푸늘 하늘의 자유를 포획당한 채, 내 끈끈한\n늪 같은 몸뚱이에 붙잡혀 버린 게 아닐까.","but I think this bird is trapped in my clingy\nswamp of a body, robbed of the blue sky.",13,,,
1,63,13,0,Dot,,anim_default,text,"앞닥칠 죽음을 기다리며. 천천히, 천천히,\n다리부터 뒤틀리다 썩어 가지 않을까.","Death is coming for her, inch by inch. And it\nwill start with her legs twisting and rotting.",14,,,
1,63,14,0,Dot,,anim_default,text,"그치만, <nickname>, 그건 이 아이가 겪어선\n안 될 고통이야. 시커먼 비극이야.","But <nickname>, she doesn’t deserve this\nkind of pain. It will be a bleak tragedy.",15,,,
1,63,15,0,Dot,,anim_default,text,"부탁이야, <nickname> 이 새를 구해 줘!","Please, <nickname>. You have to save her!",16,,,
1,63,16,0,Player,,anim_default,text,‘그렇다면 큰일이긴 한데… 정말 그럴까?’,‘But are we sure she’s trapped?’,17,,,
1,63,17,0,Player,,anim_default,text,"그런 것치곤 맑은 소리로\n지저귀지 않아, 뭉치야?","But doesn’t her chirping sound joyful, [뭉치]?",18,,,
