Sub,ScriptNumber,LineKey,Color,Actor,AnimState,DotAnim,TextType,KorText,EngText,NextLineKey,DeathNote,AfterScript,Exeption
1,27,1,0,Dot,,anim_eyesblink,text,<nickname>!,<nickname>!,2,,,
1,27,2,0,Dot,,anim_idle,text,티비에서 이상하게 생긴 인간을 봤어.,I saw the most peculiar person on TV.,3,,,
1,27,3,0,Dot,,anim_eyesblink,text,"똑같이 머리도 하나, 몸도\n하나, 다리도 두 개였지만…","One head, one body and\ntwo legs just like everyone else…",4,,,
1,27,4,0,Dot,,anim_idle,text,"목은 가로등처럼 길었고,\n머리는 완두콩만큼 작았어.","But their neck was long as a pipe,\nand their head as small as a pea.",5,,,
1,27,5,0,Dot,,anim_move,text,"몸통은 체형에 비해 비대하게 둥글었고,","Their body was bloated and\nround like a beach ball,",6,,,
1,27,6,0,Dot,,anim_idle,text,다리는 부서지기 직전의\n나뭇가지처럼 앙상했지.,and their legs were like twigs\na second away from snapping.,7,,,
1,27,7,0,Dot,,anim_bounce,text,그리고! 그리고!,And! And!,8,,,
1,27,8,0,Dot,,anim_idle,text,아주 상큼한 맛이 나는 분홍빛을 띄고 있었어!,They were a most fruity and\nrefreshing shade of pink!,9,,,
1,27,9,0,Player,,anim_eyesblink,text,어… 잘 모르겠다. 인간이었다고?,Um… I don't follow. You said they were human?,10,,,
1,27,10,0,Player,,anim_idle,text,그림이라도 그려 줄래?,Could you draw them for me?,11,,,
1,27,11,0,Dot,,anim_eyesdown_turn,text,음… 음. 그림엔 소질이 없는데.,Hmm... Hmm! I’m not really a painter…,12,,,
1,27,12,0,Dot,,anim_eyesup_turn,text,대신 이건 어때?,How about this?,13,,,
1,27,13,0,Dot,,anim_sub_dottoflamingo,text,이렇게 생겼었는데.,They looked like this.,14,,,
1,27,14,0,Dot,,anim_sub_flamingo,text,그의 아름다운 분홍빛이\n결여되어 있다는 것만 제외하면…,I can’t recreate that beautiful pink…,15,,,
1,27,15,0,Dot,,anim_sub_flamingo,text,그런 대로 비슷한 것 같아.,but I guess this will do.,16,,,
1,27,16,0,Dot,,anim_sub_flamingo,text,이런 인간은 어디에 사는 어떤 인간이야?,Where on earth do these people come from?,17,,,
1,27,17,0,Player,,anim_sub_flamingo,text,"하하, 뭉치! 그건 인간이 아니야!\n‘플라밍고’라는 새를 본 것 같은데?","Haha, Dot! That’s not a person!\nThat’s what we call a ‘flamingo’.",18,,,
1,27,18,0,Dot,,anim_flamingotodot,text,플라밍고? 인간이 아니야?,A flamingo? So they aren’t human?,19,,,
1,27,19,0,Dot,,anim_eyesblink,text,"어, 부끄러워.","Well, this is embarrassing.",,,,
2,28,20,0,Dot,,anim_bounce,text,"♫ I wonder how, I wonder why ♫","♫ I wonder how, I wonder why ♫",21,,,
2,28,21,0,Dot,,anim_bounce,text,"♫ Yesterday, you told me 'bout the blue, blue sky ♫","♫ Yesterday, you told me 'bout the blue, blue sky ♫",22,,,
2,28,22,0,Dot,,anim_bounce,text,♫ And all that I can see is just a yellow lemon tree ♫,♫ And all that I can see is just a yellow lemon tree ♫,23,,,
2,28,23,0,Player,,anim_bounce,selection,"뭉치, 새로 배운 노래야?|멋진 가수의 새싹이 자라고 있군.",Is that a new song you learned?|I see a great singer in the making.,24|25,,,
2,28,24,0,Dot,,anim_eyesblink,text,"응, “레몬 트리”라는 노래야.","Yes, it’s called “Lemon Tree.”",26,,,
2,28,25,0,Dot,,anim_idle,text,날 팝 스타로 만들어 줄 이 곡은 \n“레몬 트리”라는 이름을 가지고 있어.,"The song is called “Lemon Tree”,\nand it’s going to be my ticket to stardom.",26,,,
2,28,26,0,Dot,,anim_eyesblink,text,가사가 무슨 뜻인진\n잘 모르겠지만 듣기 좋아!,I’m not sure what the lyrics\nare about but it sounds nice!,27,,,
2,28,27,0,Dot,,anim_idle,text,난 레몬이 좋아. 꼭…\n날카롭게 반짝이는 맛이잖아!,I like lemons. They smell\nlike… sharp sparkles!,28,,,
2,28,28,0,Player,,anim_eyesblink,text,그런 걸 “신맛”이라고 표현해.,You may be talking about the taste “sour.”,29,,,
2,28,29,0,Player,,anim_idle,text,"그리고, 음… 사실 노래 가사 속\n레몬은 우울을 상징할걸?","Also, um… I’ve heard the lemons\nin the lyrics symbolize melancholy?",30,,,
2,28,30,0,Dot,,anim_move,text,뭐라고?!,What?!,31,,,
2,28,31,0,Dot,,anim_idle,text,…,…,32,,,
2,28,32,0,Dot,,anim_move,text,우와. 눈치조차 못 챘어. 혀끝에\n어떠한 감각도 없었단 말이야.,Oh wow. I didn’t even notice. I didn’t\ncatch any of that on my tongue.,33,,,
2,28,33,0,Player,,anim_idle,text,…,…,34,,,
2,28,34,0,Player,,anim_move,text,왜?,Why?,35,,,
2,28,35,0,Player,,anim_idle,text,"레몬이 신맛이어서,\n아니면 노란색이어서?","Is it because lemons are sour,\nor because they’re yellow?",36,,,
2,28,36,0,Dot,,anim_eyesup_turn,text,"으음, 한 번은 태양을 올려다보며\n그의 자애로운 온기에 안겨 있고 싶어져서","Well, one time while gazing up at the sun\nI wanted to be in its benevolent embrace",37,,,
2,28,37,0,Dot,,anim_idle,text,"햇살 표면에 내 볼을 슬며시\n부비적거려 본 적이 있었는데,","so I furtively rubbed my\ncheek against its surface,",38,,,
