Sub,ScriptNumber,LineKey,Color,Actor,AnimState,DotAnim,TextType,KorText,EngText,NextLineKey,DeathNote,AfterScript,Exeption
1,15,1,0,Dot,,anim_eyesblink,text,"<nickname>, 내 침대 있잖아.","<nickname>, about my bed.",2,,,
1,15,2,0,Player,,anim_idle,text,네 침대?,Your bed?,3,,,
1,15,3,0,Dot,,anim_idle,text,"응. 네 침대의 그림자 속에서, 희멀겋지만\n탄력 있는 호흡으로 존재하는 나의 침대.","My bed, woven with resilience and\nsilk in the shadow of your bed.",4,,,
1,15,4,0,Dot,,anim_eyesblink,text,나의 끈적끈적하고 안락한 침대 말이야!,My sticky snug bed!,5,,,
1,15,5,0,Player,,anim_idle,text,‘… 이게 무슨 뜻일까.’,‘… What does this mean.’,6,,,
1,15,6,0,Player,,anim_idle,text,"‘… 아, 아아. 저 구석의 거미줄을\n뭉치가 침대로 쓰겠다 했었지.’","‘… Oh, right. Dot’s using the cobweb\nin the corner as a bed.",7,,,
1,15,7,0,Player,,anim_eyesblink,text,"응, 뭉치야. 네 침대. 기억했어.","Right, Dot. Your bed. I remember.",8,,,
1,15,8,0,Dot,,anim_idle,text,오늘 그 침대를 만들어 준 예술가\n선생과 우연히 마주쳤어.,Today I stumbled upon the\nartist who crafted the bed.,9,,,
1,15,9,0,Player,,anim_idle,text,"‘세상에. 안 돼. 설마, 제발….’","‘Oh. No. Please, no…’",10,,,
1,15,10,0,Player,,anim_eyesblink,text,예술가 선생? 혹시\n우리 집에서 만난 거야?,The artist? You met the artist here?,11,,,
1,15,11,0,Dot,,anim_idle,text,"응, 응. 그는 저쪽 창틀 위에\n고고하게 앉아 있었지.","Yes, yes. She was perched elegantly \non the windowsill over there.",12,,,
1,15,12,0,Player,,anim_idle,text,"‘오, 이런. 설마가 사람 잡았군.’",‘My worst fears are coming true.’,13,,,
1,15,13,0,Dot,,anim_eyesblink,text,"난 조금 가까이 다가가서… 실례를 범하지\n않았길 바라며, 그의 여덟 개나 되는 눈,","I came closer… and, with the utmost\nregard, counted her eight eyes,",14,,,
1,15,14,0,Dot,,anim_idle,text,그리고 경이롭게도 ‘역시’ 여덟 개나 되는\n다리를 하나하나 세어 보고 있었는데.,and her magnificent\neight legs one by one.,15,,,
1,15,15,0,Dot,,anim_idle,text,그때.,And then.,16,,,
1,15,16,0,Player,,anim_eyesblink,text,그때…?,And then…?,17,,,
1,15,17,0,Dot,,anim_idle,text,"눈이 마주친 거야. 허공에서,\n조금은 어색하게,","Our eyes met. Midair,\na little awkwardly.",18,,,
1,15,18,0,Dot,,anim_idle,text,그의 눈알 여덟 개와\n나의 눈알 두 개가 말이야.,Her eight eyes and my\ntwo eyes locked together.,19,,,
1,15,19,0,Dot,,anim_eyesblink,text,"가까이에서 본 그는 훨씬 새하얀데,\n멋진 줄무늬도 있고! 아주 복실복실했어.","She was much paler up close,\nwith glorious stripes! Very fluffy.",20,,,
1,15,20,0,Dot,,anim_idle,text,털을 만져보는 것도 허락해 주었지.\n근사한데 상냥하기까지.,She even let me touch her fur.\nSweet as well as handsome.,21,,,
1,15,21,0,Dot,,anim_eyesside_turn,text,"이건 너와 나 사이의 귓속말인데,\n어, 그가 아직 창가에 있어.","And this is between you and me,\nbut she’s still on the windowsill.",22,,,
1,15,22,0,Player,,anim_eyesblink,text,"어, 어… 어? 저기 있다고, 지금?","Right, so… So. She’s\nstill there, right now?",23,,,
1,15,23,0,Player,,anim_idle,text,"거미가? 아니, 하하…\n예술가 선생이?","The spider? Wait, no… the artist?",24,,,
1,15,24,0,Dot,,anim_eyesblink,text,"응, 응, <nickname>. 털을 만지게 해 준 답례로\n나도 선물을 주고 싶은데,","Yes, that’s it, <nickname>. I’d like to\ngive her a thank-you present.",25,,,
1,15,25,0,Dot,,anim_sub_spiderdot,text,"어때, 좀 닮았어? 그에\n대한 나의 존경을 담았어.",Can you see the resemblance?\nIt’s a token of my respect.,26,,,
1,15,26,0,Player,,anim_eyesblink,selection,"오, 그럼. 그가 정말 기뻐할걸?|거미들의 취향은 잘 모르겠네.","Oh, sure. I know she’ll be thrilled.|I’m not sure what spiders find appealing.",27|28,,,
1,15,27,0,Dot,,anim_idle,text,"한시름 놓을 수 있겠어. 고마워, <nickname>.","What a relief. Thank you, <nickname>.",29,,,
1,15,28,0,Dot,,anim_idle,text,아무래도 그럴 수 있겠다.\n<nickname>은 인간이니까.,"I don’t blame you.\nYou are human, <nickname>.",29,,,
1,15,29,0,Dot,,anim_bounce,text,다녀올게. 행운을 빌어 줘!,I’ll be back. Wish me luck!,,,,
2,16,30,0,Dot,,anim_bounce,text,"아, 얼마나 황홀할까, <nickname>!","Oh, how splendid it must be, <nickname>",31,,,
2,16,31,0,Dot,,anim_bounce,text,푸르른 하늘을 가로지르며\n구름 너머로 내달리는 삶이란!,To soar across the blue sky and\nrace far beyond the clouds!,32,,,
2,16,32,0,Dot,,anim_bounce,text,"날 묶어 두는 어떠한 족쇄도 없이,\n그저 나로서 자유롭게 영원한 아이가 되어","To be a child forever, free and whole,\nwith no chains binding me,",33,,,
2,16,33,0,Dot,,anim_bounce,text,"매일 매일을 행복하게 모험하고\n
탐구하고 탐닉하기만 하며 살 수 있다면!",and live a life of adventuring and\nexploring and seeking every day!,34,,,
2,16,34,0,Player,,anim_eyesblink,text,(어디에서 들어 본 이야기다.)|(이게 대체 무슨 소리일까.),(This sounds familiar.)|(Where is this coming from.),35|36,,,
2,16,35,0,Player,,anim_idle,text,"혹시 뭉치, 어떠한 책을 읽은 거야?","Have you been reading\nwhat I think you have, Dot?",37,,,
2,16,36,0,Player,,anim_idle,text,"혹시 뭉치, 지금 어떤 이야기를 하는 거야?","Do you mind me asking\nwhat this is about, Dot?",37,,,
2,16,37,0,Dot,,anim_eyesblink,text,<피터 팬>이라는 책을 읽게 되었어.,I’ve been reading <Peter Pan>.,38,,,
2,16,38,0,Dot,,anim_move,text,"순수하고 쾌활한, 때로는 매정한 피터처럼\n난 그 어떤 것도 짊어지지 않으려 해!","And like him, pure and merry and at times\ncruel, I won’t be burdened by anything!",39,,,
2,16,39,0,Dot,,anim_idle,text,"그래서 그 어떤 것도 잃을 수 없는,\n영원한 아이가 될 거야.","And so forever a child I will be,\nwith nothing to lose.",40,,,
2,16,40,0,Dot,,anim_eyesblink,text,"그곳엔 상실이 없을 거야, 압박도, 불안도,\n고통스러운 고민들도 없을 거야!","No more loss, pressure, anxiety,\nor agonizing troubles!",41,,,
2,16,41,0,Player,,anim_idle,selection,(눈감고 뭉치를 응원한다.)|(뭉치에게 현실을 이야기해 준다.),(Cheer Dot on.)|(Speak of reality.),42|52,,,
